GRIDODE,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
  167965,  67.875E-06,  68.098E-06,  67.875E-06,  67.875E-06,  67.891E-06,  67.673E-06,  68.774E-06,  67.440E-06,  68.008E-06,  68.041E-06,  68.173E-06,  67.856E-06,  67.709E-06,  68.725E-06,  67.003E-06,  67.876E-06,  67.385E-06,  67.491E-06,  67.615E-06,  67.768E-06,  67.716E-06,  67.700E-06,  67.700E-06,  67.875E-06
  167966,  67.875E-06,  68.098E-06,  67.875E-06,  67.875E-06,  67.891E-06,  67.673E-06,  68.774E-06,  67.440E-06,  68.008E-06,  68.041E-06,  68.173E-06,  67.856E-06,  67.709E-06,  68.725E-06,  67.003E-06,  67.876E-06,  67.385E-06,  67.491E-06,  67.615E-06,  67.768E-06,  67.716E-06,  67.700E-06,  67.700E-06,  67.875E-06
  169024,  67.875E-06,  68.098E-06,  67.875E-06,  67.875E-06,  67.891E-06,  67.673E-06,  68.774E-06,  67.440E-06,  68.008E-06,  68.041E-06,  68.173E-06,  67.856E-06,  67.709E-06,  68.725E-06,  67.003E-06,  67.876E-06,  67.385E-06,  67.491E-06,  67.615E-06,  67.768E-06,  67.716E-06,  67.700E-06,  67.700E-06,  67.875E-06
  169025,  67.875E-06,  68.098E-06,  67.875E-06,  67.875E-06,  67.891E-06,  67.673E-06,  68.774E-06,  67.440E-06,  68.008E-06,  68.041E-06,  68.173E-06,  67.856E-06,  67.709E-06,  68.725E-06,  67.003E-06,  67.876E-06,  67.385E-06,  67.491E-06,  67.615E-06,  67.768E-06,  67.716E-06,  67.700E-06,  67.700E-06,  67.875E-06
  170071,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  14.455E-06,  13.940E-06,  14.801E-06,  14.298E-06,  14.723E-06,  14.464E-06,  14.931E-06,  15.170E-06,  14.827E-06,  14.914E-06,  15.024E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  14.931E-06,  15.009E-06,  15.009E-06
  170072,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  14.455E-06,  13.940E-06,  14.801E-06,  14.298E-06,  14.723E-06,  14.464E-06,  14.931E-06,  15.170E-06,  14.827E-06,  14.914E-06,  15.024E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  14.931E-06,  15.009E-06,  15.009E-06
  170073,  36.201E-06,  36.201E-06,  36.201E-06,  36.201E-06,  35.990E-06,  36.201E-06,  36.053E-06,  35.701E-06,  34.341E-06,  35.030E-06,  35.885E-06,  36.252E-06,  36.034E-06,  36.507E-06,  36.376E-06,  36.029E-06,  35.805E-06,  36.201E-06,  36.043E-06,  36.434E-06,  36.201E-06,  36.180E-06,  36.201E-06,  36.201E-06
  171129,  48.096E-06,  48.085E-06,  48.096E-06,  48.096E-06,  48.096E-06,  47.879E-06,  47.444E-06,  43.901E-06,  47.736E-06,  46.417E-06,  47.154E-06,  47.985E-06,  47.426E-06,  47.681E-06,  48.006E-06,  47.530E-06,  48.146E-06,  48.096E-06,  47.831E-06,  48.096E-06,  48.085E-06,  48.096E-06,  48.096E-06,  48.096E-06
  171130,  48.096E-06,  48.085E-06,  48.096E-06,  48.096E-06,  48.096E-06,  47.879E-06,  47.444E-06,  43.901E-06,  47.736E-06,  46.417E-06,  47.154E-06,  47.985E-06,  47.426E-06,  47.681E-06,  48.006E-06,  47.530E-06,  48.146E-06,  48.096E-06,  47.831E-06,  48.096E-06,  48.085E-06,  48.096E-06,  48.096E-06,  48.096E-06
  171131,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  14.455E-06,  13.940E-06,  14.801E-06,  14.298E-06,  14.723E-06,  14.464E-06,  14.931E-06,  15.170E-06,  14.827E-06,  14.914E-06,  15.024E-06,  15.009E-06,  15.009E-06,  15.009E-06,  15.009E-06,  14.931E-06,  15.009E-06,  15.009E-06
